model	task	layer	num_records	first_token_jsd	first_token_kl_full_to_pruned	first_token_kl_pruned_to_full	generation_mean_jsd	generation_mean_kl_full_to_pruned	generation_mean_kl_pruned_to_full	performance_Bleu_1	performance_Bleu_2	performance_Bleu_3	performance_Bleu_4	performance_CIDEr	performance_METEOR	performance_ROUGE_L	summary_path
llava-v1.5-7b	refcoco_plus	0	500	0.11282522186636924	0.6723566336780786	0.5417264201194048	0.1092340034544468	0.6197196285426617	0.5828037478476763	0.11189034109017791	0.02763614651994584	0.010235064138758198	8.99613070232312e-07	0.10801440098775873	0.06362473248631535	0.12433544378171832	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_0/layer_summary.json
llava-v1.5-7b	refcoco_plus	1	500	0.06550365959480405	0.39092940172553065	0.2743908176869154	0.05454946128092706	0.3265812014862895	0.24022862788289787	0.18808129521178502	0.07712633850760427	0.03437979880328828	0.01716893648575166	0.3071988697953376	0.11699473810957361	0.214628682153913	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_1/layer_summary.json
llava-v1.5-7b	refcoco_plus	2	500	0.0512995158303529	0.28877530283480884	0.20776743898540737	0.039051007641479375	0.21951911736279725	0.1654342802837491	0.1886416472931954	0.07506302554822854	0.03227555869993815	0.012213473951550488	0.30501915607801094	0.12088537327654206	0.2167024848713678	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_2/layer_summary.json
llava-v1.5-7b	refcoco_plus	3	500	0.054747247034683824	0.3189217635318637	0.2233205291107297	0.04194696355052292	0.23845895322412253	0.1824887704178691	0.1735400857802133	0.06927919797222887	0.02770635723587661	1.930593210331772e-06	0.26719379624043016	0.11076287291238647	0.19981135433343206	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_3/layer_summary.json
llava-v1.5-7b	refcoco_plus	4	500	0.055579728167504075	0.31834525187313556	0.22841317155957222	0.04092370796669274	0.22913187271356583	0.1784436001740396	0.17647058823523515	0.07090736095893559	0.029333537260453537	2.028061505031873e-06	0.2624872850841675	0.11182637768648233	0.1982533951887503	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_4/layer_summary.json
llava-v1.5-7b	refcoco_plus	5	500	0.05111880732513964	0.2995658662468195	0.20350802408903837	0.039412596099078656	0.22611516267806292	0.1686680712737143	0.1745098039215116	0.06605107946155071	0.030195715421059626	2.0496412043619742e-06	0.2591917084047576	0.11376454262005395	0.1994678501998502	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_5/layer_summary.json
llava-v1.5-7b	refcoco_plus	6	500	0.05269425630569458	0.3096740523427725	0.20978468994796276	0.03999355711229145	0.22821815679222346	0.17191535402834415	0.17937806873971215	0.07060222600759017	0.026872308891031274	1.8795164836341333e-06	0.2694715727704446	0.11678027266985762	0.2053125233539317	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_6/layer_summary.json
llava-v1.5-7b	refcoco_plus	7	500	0.05725431452319026	0.33188023656606674	0.23910475353151558	0.046458439234644176	0.26414931021630766	0.2139881717339158	0.17281105990777723	0.06444732198180604	0.020125894305796914	1.517320434889277e-06	0.24332129769634414	0.11177862069976083	0.19707868202032874	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_7/layer_summary.json
llava-v1.5-7b	refcoco_plus	8	500	0.06627486932650209	0.39775554290413856	0.27743305575847627	0.053646994575858115	0.31253932970762255	0.24814305471628903	0.15992037159915065	0.055829957656969645	0.016682666262919296	1.3233283834266205e-06	0.21293848463716153	0.10169405926143807	0.18345570762665397	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_8/layer_summary.json
llava-v1.5-7b	refcoco_plus	9	500	0.0503312015235424	0.3019126511067152	0.20114924312382937	0.04135369582194835	0.23671207042038442	0.18345502254739404	0.17635270541076276	0.06831480082434757	0.022703430682523843	1.6729423158116278e-06	0.264683417952302	0.11636689775014858	0.2026422589192224	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_9/layer_summary.json
llava-v1.5-7b	refcoco_plus	10	500	0.06123390301316976	0.3734006095081568	0.24754223535954953	0.05066490694880486	0.2976672485768795	0.22712677082419394	0.16504854368926697	0.06131715159870655	0.020796769936899044	1.5422246293532772e-06	0.22668563472578798	0.10840134147968908	0.18804634219347854	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_10/layer_summary.json
llava-v1.5-7b	refcoco_plus	11	500	0.06667609153687953	0.3885756975412369	0.2821163797080517	0.05514600536599755	0.3202811281383038	0.25310757268220185	0.15792901335064868	0.055971250610789496	0.02195917337261441	1.6112686024795602e-06	0.22618221460133747	0.10686816970706842	0.18559220809114452	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_11/layer_summary.json
llava-v1.5-7b	refcoco_plus	12	500	0.053374862894415856	0.3262871065735817	0.20917176238447427	0.04286553497053683	0.25103380665928127	0.18155047254264356	0.17989590110599224	0.06475629427443094	0.022977467372917067	1.6661935025245372e-06	0.26572186859999497	0.11967140441674798	0.20960534437913042	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_12/layer_summary.json
llava-v1.5-7b	refcoco_plus	13	500	0.05798894023522735	0.3319255186617374	0.23991242204606533	0.046368202600628135	0.25859455316513774	0.21028638988733292	0.15484288953671693	0.056851810415314244	0.02213203744872785	1.6166716240365786e-06	0.23033347471007062	0.10350714685405173	0.18268054019119706	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_13/layer_summary.json
llava-v1.5-7b	refcoco_plus	14	500	0.038297671843320134	0.20970103342086077	0.14923251389712094	0.03134226868953556	0.172582843888551	0.13200790283828973	0.17921146953399178	0.0693785779318298	0.02534716813424402	1.79490450802608e-06	0.27303934128520485	0.11827175960698118	0.20342588900150646	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_14/layer_summary.json
llava-v1.5-7b	refcoco_plus	15	500	0.044850959618575874	0.2587689795345068	0.17443197905272245	0.034673759266734126	0.197359409481287	0.14576877500861884	0.18470705064542048	0.07655971489701466	0.027279984160797372	1.9113964798819193e-06	0.30330206159217155	0.12153207051353966	0.21419016215723136	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_15/layer_summary.json
llava-v1.5-7b	refcoco_plus	16	500	0.0402783216945827	0.22341681974381208	0.1568916552811861	0.030526428506709634	0.16748002849519253	0.1267326482459903	0.18693768743745853	0.07876452045843943	0.030330918523558917	2.0764381465079066e-06	0.2941209259333432	0.1204073044555154	0.21488657614802065	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_16/layer_summary.json
llava-v1.5-7b	refcoco_plus	17	500	0.030255256423726676	0.16122261273860933	0.11775513560324907	0.02448941869288683	0.1312706639636308	0.10113077492080629	0.18529810298096705	0.07628174446720185	0.03294940337331284	0.012528353882982552	0.2979205129549851	0.11896771173658344	0.20872927554371307	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco_plus/scoring_layer_17/layer_summary.json
